id,lat,lon,name,city,address,rating,price,url,category1,category2,category3
east-bay-coffee-company-pinole,38.0066375732422,-122.288528442383,East Bay Coffee Company,Pinole,"2529 San Pablo Ave, Pinole, CA 94564",4.5,1,https://www.yelp.com/biz/east-bay-coffee-company-pinole?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Coffee & Tea,Desserts,Internet Cafes
burmatown-corte-madera,37.9269335447541,-122.530881462668,Burmatown,Corte Madera,"60 Corte Madera Ave, Corte Madera, CA 94925",4.5,2,https://www.yelp.com/biz/burmatown-corte-madera?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Burmese,Asian Fusion,None
starbread-bakery-san-pablo-2,37.955455,-122.336334,Starbread Bakery,San Pablo,"13501 San Pablo Ave, San Pablo, CA 94806",4.5,1,https://www.yelp.com/biz/starbread-bakery-san-pablo-2?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Bakeries,Filipino,None
catahoula-coffee-company-richmond,37.9398384094238,-122.326797485352,Catahoula Coffee Company,Richmond,"12472 San Pablo Ave, Richmond, CA 94805",4.5,1,https://www.yelp.com/biz/catahoula-coffee-company-richmond?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Coffee & Tea,Bagels,None
valenti-and-co-san-anselmo,37.9732419,-122.5622363,Valenti & Co,San Anselmo,"337 San Anselmo Ave, San Anselmo, CA 94960",4.5,3,https://www.yelp.com/biz/valenti-and-co-san-anselmo?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Italian,Wine Bars,None
moschetti-vallejo-2,38.0965461730957,-122.246772766113,Moschetti,Vallejo,"11 6th St, Vallejo, CA 94590",5.0,1,https://www.yelp.com/biz/moschetti-vallejo-2?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Coffee & Tea,None,None
philadelphia-hoagie-station-richmond,37.94933,-122.347277,Philadelphia Hoagie Station,Richmond,"1100 23rd St, Richmond, CA 94804",4.5,1,https://www.yelp.com/biz/philadelphia-hoagie-station-richmond?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Sandwiches,Burgers,None
states-coffee-and-mercantile-martinez,38.0164007842541,-122.136723026633,States Coffee & Mercantile,Martinez,"609 Ward St, Martinez, CA 94553",5.0,2,https://www.yelp.com/biz/states-coffee-and-mercantile-martinez?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Coffee & Tea,Shopping,None
alexs-giant-burger-san-pablo,37.95857,-122.35699,Alex's Giant Burger,San Pablo,"1789 Rumrill Blvd, San Pablo, CA 94806",4.5,1,https://www.yelp.com/biz/alexs-giant-burger-san-pablo?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Burgers,Breakfast & Brunch,Coffee & Tea
lotus-chaat-and-spices-san-rafael,37.9738379,-122.5361143,Lotus Chaat and Spices,San Rafael,"1559 4th St, San Rafael, CA 94901",4.5,2,https://www.yelp.com/biz/lotus-chaat-and-spices-san-rafael?adjust_creative=j4CRYDbimeXTfbmtBAk3ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j4CRYDbimeXTfbmtBAk3ng,Indian,Vegetarian,Vegan
